prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components
152,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,NA,
159,stream_chemistry,,,,stream_chemistry__ms001,,
142,discharge,ready,ready,NA,stream_flux_inst__ms004,NA,
167,precipitation,ready,ready,NA,precip_pchem_pflux__ms005,NA,"167_TIPBUCK_CRREL_2007-2016.txt,167_TIPBUCK_HR1A_2001-2016.txt,167_TIPBUCK_CPEAK_1993-2016.txt"
157,precip_chemistry,ready,ready,NA,precip_pchem_pflux__ms005,NA,
ms001,stream_chemistry,NA,NA,ready,stream_flux_inst__ms004,NA,
ms006,precip_gauge_locations,NA,NA,ready,precip_pchem_pflux__ms005,NA,
ms007,stream_gauge_locations,NA,NA,ready,NA,NA,
ms004,stream_flux_inst,NA,NA,ready,NA,NA,
ms005,precip_pchem_pflux,NA,NA,ready,NA,NA,
ms000,ws_boundary,NA,NA,NA,precip_pchem_pflux__ms005,automated entry,
ms008,discharge,NA,NA,linked,NA,automated entry,
ms900,precipitation,NA,NA,NA,NA,automated entry,
ms901,precip_chemistry,NA,NA,NA,NA,automated entry,
ms902,precip_flux_inst,NA,NA,NA,NA,automated entry,
